Temperature             Resistance
(Kelvin)                (Ohms)

8.39815091685870E-02   4.17221000000000E+04
9.60667256600530E-02   2.62033000000000E+04
1.12012357313555E-01   1.65292000000000E+04
1.28046253025869E-01   1.16034000000000E+04
1.46009056552416E-01   8.47250000000000E+03
1.61974446386350E-01   6.80350000000000E+03
1.82084659242802E-01   5.35447000000000E+03
2.03715174398318E-01   4.32910000000000E+03
2.30046448681428E-01   3.51335000000000E+03
2.60000962313655E-01   2.85894000000000E+03
2.90016103935427E-01   2.40914000000000E+03
3.10006259957126E-01   2.18356000000000E+03
3.30024154306039E-01   1.99780000000000E+03
3.67935009281484E-01   1.72958000000000E+03
4.18026718214610E-01   1.47051000000000E+03
4.75833562267081E-01   1.26086000000000E+03
5.35236630133847E-01   1.10382000000000E+03
6.10053494043348E-01   9.61370000000000E+02
6.85268897332888E-01   8.56140000000000E+02
7.64995198992746E-01   7.70190000000000E+02
8.55044425772403E-01   6.97560000000000E+02
9.50628500180290E-01   6.36010000000000E+02
1.05001313150566E+00   5.87250000000000E+02
1.15278265436561E+00   5.43799724651709E+02
1.19983756914931E+00   5.27047768570929E+02
1.29824592389944E+00   4.96880077942381E+02
1.40052853858472E+00   4.70179326225322E+02
1.60115531180089E+00   4.28025719747937E+02
1.80144324506644E+00   3.95506446385299E+02
1.99853173321465E+00   3.70084940123155E+02
2.19774160952193E+00   3.49016839169770E+02
2.39769110232037E+00   3.31310685695809E+02
2.59337525569649E+00   3.16480998762660E+02
2.79923303462073E+00   3.03084775725095E+02
3.00304966330925E+00   2.91542511240421E+02
3.19663800234112E+00   2.81853345880255E+02
3.39667587667938E+00   2.72938483779677E+02
3.59831220392002E+00   2.64888405954434E+02
3.79419835457966E+00   2.57808892706107E+02
3.99376511019205E+00   2.51244995621814E+02
4.20811476060925E+00   2.44813168778651E+02
4.61793576432953E+00   2.34063660124696E+02
5.13396376164562E+00   2.22635873087721E+02
5.65102858795169E+00   2.13050867599461E+02
6.38375550937881E+00   2.01755489129097E+02
7.23134529202636E+00   1.91133620906294E+02
8.29354632084299E+00   1.80388110743635E+02
9.35730595804398E+00   1.71628078832251E+02
1.04083187082132E+01   1.64390691711151E+02
1.14432467896910E+01   1.58270882543264E+02
1.24507151934570E+01   1.53074801488032E+02
1.34389634428612E+01   1.48532973675953E+02
1.44132565921982E+01   1.44496393831166E+02
1.53760385973124E+01   1.40884692364328E+02
1.63229926112375E+01   1.37614924149163E+02
1.72700510110959E+01   1.34579020858078E+02
1.82098080389042E+01   1.31810623614723E+02
1.91485972214162E+01   1.29201497077358E+02
2.00981028584987E+01   1.26735771146830E+02
2.11550865911306E+01   1.24159278295440E+02
2.27227164113727E+01   1.20627402092278E+02
2.43248135658729E+01   1.17316927514051E+02
2.59019286669217E+01   1.14313470069398E+02
2.74844571700301E+01   1.11512831705807E+02
2.90752510839421E+01   1.08895693555284E+02
3.08709577435816E+01   1.06137936918137E+02
3.29784189812111E+01   1.03141511446352E+02
3.59685516121368E+01   9.92723138581912E+01
3.89740907067768E+01   9.57578830606098E+01
4.19657505702186E+01   9.25866413544879E+01
4.49721355403931E+01   8.96743435809295E+01
4.79639837467001E+01   8.70164790202488E+01
4.99697396336042E+01   8.53436028974959E+01
5.49704375247283E+01   8.15386931985900E+01
5.99678017648598E+01   7.81604427239275E+01
6.49615596850730E+01   7.51409159414872E+01
6.99584616427046E+01   7.24154547991891E+01
7.49504346511968E+01   6.99358890207251E+01
7.99472686215199E+01   6.76674532143271E+01
8.49438293914654E+01   6.55820812883026E+01
8.99414283506313E+01   6.36516147479227E+01
9.49389556974489E+01   6.18598734157033E+01
9.99377169694237E+01   6.01929999162368E+01
1.09945034304702E+02   5.71593653911814E+01
1.19942187733865E+02   5.44831751216933E+01
1.29939422035971E+02   5.20954456374525E+01
1.39949268977941E+02   4.99423871695073E+01
1.49959442570114E+02   4.79952971750845E+01
1.59963480377069E+02   4.62247084527952E+01
1.69972473349222E+02   4.46065962268883E+01
1.80019179727054E+02   4.31196840829184E+01
1.89988020463458E+02   4.17579695903505E+01
1.99985623002556E+02   4.05014966922452E+01
2.09984108275050E+02   3.93363911679623E+01
2.19974722622737E+02   3.82593291397512E+01
2.29971972488971E+02   3.72552867847288E+01
2.39968350861278E+02   3.63214564639091E+01
2.49952759916865E+02   3.54509667389795E+01
2.59944011408918E+02   3.46380124143996E+01
2.69953696546387E+02   3.38746839408040E+01
2.79965317343921E+02   3.31588254284175E+01
2.89967003282241E+02   3.24879285054549E+01
2.99978051262176E+02   3.18555027885637E+01
3.09994312217269E+02   3.12611494687851E+01
3.14992504439315E+02   3.09781894324602E+01
3.19993067917248E+02   3.07020882213271E+01
3.25979743444017E+02   3.03814921797925E+01
3.29983873519245E+02   3.01743737834898E+01
